2026-08-06 11:47:27,730 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\LastResortHE-Regular.ttf', index=0, name='Last Resort High-Efficiency', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', index=0, name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', index=0, name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', index=0, name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', index=0, name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', index=0, name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', index=0, name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', index=0, name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,731 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
