center_x,center_y,height,radius
335547.160602934,4982878.829146052,136.04199999999997,4994163.926318528
335547.25564144,4982878.31825958,136.147,4994163.422971903
335547.18700325675,4982878.485132389,136.26299999999998,4994163.584855998
335547.21225816815,4982878.502265062,136.358,4994163.603646763
335547.2899927376,4982878.455016159,136.45999999999998,4994163.561727443
335547.2411713617,4982878.5633650925,136.559,4994163.666551337
335547.3133005581,4982878.412851398,136.64049999999997,4994163.521223984
335547.4843442855,4982878.087874191,136.74450000000002,4994163.208473181
335547.3951814556,4982878.342268199,136.8455,4994163.456301696
335547.51357506483,4982878.014911459,136.96749999999997,4994163.137639295
335547.4104272039,4982878.5005906215,137.039,4994163.615290696
335547.44693246123,4982878.441703014,137.14,4994163.558988866
335547.5300373761,4982878.259930512,137.259,4994163.383210764
335547.4898057996,4982878.475639377,137.35750000000002,4994163.595729129
335547.5533603071,4982878.27424519,137.435,4994163.399060118
335547.5230743448,4982878.557508547,137.55149999999998,4994163.679648555
335547.60334165633,4982878.152619099,137.66199999999998,4994163.281067018
335547.5647639721,4982878.37538274,137.751,4994163.500735315
335547.7465175501,4982877.806018344,137.8535,4994162.944869163
335547.94704626576,4982877.057609585,137.958,4994162.211624705
335547.89951583766,4982877.172302726,138.045,4994162.322865215
335547.94054730155,4982876.901687741,138.147,4994162.055618533
335548.00413209293,4982876.605112942,138.244,4994161.7639860585
335548.02063140215,4982876.773648598,138.361,4994161.9332494475
335548.05870422703,4982877.046030136,138.468,4994162.207573523
335548.0145071508,4982877.363756691,138.54399999999998,4994162.521612598
335548.0330996938,4982877.6988227675,138.666,4994162.857170741
335548.24770041206,4982876.995831337,138.732,4994162.170186342
335548.01918925927,4982878.295908907,138.863,4994163.451973069
335547.9582376146,4982878.641894407,138.927,4994163.793081529
335548.096274351,4982877.952178057,139.04749999999999,4994163.114198159
335548.0469792029,4982878.191594027,139.16449999999998,4994163.349761028
335547.99344871636,4982878.8725989405,139.2325,4994164.025630456
335548.0528186187,4982878.360864006,139.374,4994163.519040818
335546.7050424053,4982877.994911985,139.4655,4994163.063361358
335548.1460062855,4982877.41374353,139.52949999999998,4994162.580321665
335548.15739704703,4982877.78444603,139.748,4994162.950951849
335547.9795510469,4982879.0820976,139.84,4994164.233721946
335548.1738885656,4982878.078031658,139.96099999999998,4994163.244982118
335548.1802056939,4982877.924629904,140.0505,4994163.092351424
335549.4966486759,4982878.012476228,140.22899999999998,4994163.268448503
335549.4796037222,4982878.0459143,140.469,4994163.300665792
335549.4604901409,4982877.968901286,140.5565,4994163.222542595
335549.6017281781,4982878.092709954,140.6615,4994163.355561043
335549.50715133164,4982878.059461782,140.8525,4994163.31603354
335549.4937443669,4982877.987531763,141.08849999999998,4994163.243365269
335549.4939376691,4982878.0131029105,141.17,4994163.268891622
335549.5457798138,4982877.987070319,141.25799999999998,4994163.246401044
335549.60107215657,4982877.831543725,141.37699999999998,4994163.094940893
335549.6460386819,4982877.800696262,141.42649999999998,4994163.067184365
335549.6489521747,4982877.831725098,141.565,4994163.098338837
335549.59481427073,4982877.811416876,141.63899999999998,4994163.074439068
335549.7208156766,4982877.772266025,141.749,4994163.043842518
335549.9796213533,4982877.679893833,141.83499999999998,4994162.969067799
