center_x,center_y,height,radius
335546.9865263158,4982878.392473684,133.94778947368417,4994163.331635836
335546.6438571428,4982878.403750001,134.05428571428573,4994163.732288777
335546.9556666667,4982878.481166667,134.15183333333331,4994163.538592989
335546.71045,4982878.4619,134.25735,4994163.780216675
335546.64358823525,4982878.376411765,134.35664705882354,4994163.650601683
335547.04606250004,4982878.4233125,134.452125,4994163.485575627
335546.8484545455,4982878.440090909,134.55063636363636,4994163.747873744
335546.919,4982878.349117647,134.64905882352943,4994163.672325478
335547.10659999994,4982878.3348,134.75313333333332,4994163.682481369
335546.777875,4982878.36475,134.84699999999998,4994163.681713564
335547.0135909091,4982878.370227274,134.95277272727273,4994163.514301593
335547.0937333333,4982878.421933333,135.05093333333332,4994163.685999922
335547.57,4982878.5167499995,135.15666666666667,4994163.735874688
335547.3387058824,4982878.382529411,135.23929411764706,4994163.720274046
335547.591,4982878.360888888,135.36444444444442,4994163.383019226
335547.2358571428,4982878.301857142,135.4510476190476,4994163.481734347
335547.45821052627,4982878.332736841,135.5512631578947,4994163.406380381
335547.3215,4982878.3171999995,135.63979999999998,4994163.274568914
335546.75009999995,4982878.2136,135.74449999999996,4994163.584763066
335547.7368181819,4982878.356000001,135.85381818181816,4994163.159502782
335547.316,4982878.269066667,135.94393333333335,4994163.422620882
335547.2199999999,4982878.330416666,136.03975,4994163.926318528
335547.69646153843,4982878.396307692,136.1480769230769,4994163.422971903
335546.9099375,4982878.2169375,136.254,4994163.584855998
335546.83552941174,4982878.209941177,136.35388235294118,4994163.603646763
335546.8010625,4982878.230875,136.450875,4994163.561727443
335546.81154545455,4982878.147272727,136.56181818181815,4994163.666551337
335547.46271428576,4982878.304857143,136.63907142857144,4994163.521223984
335547.7040833333,4982878.316833333,136.74824999999998,4994163.208473181
335547.52003333333,4982878.2849,136.84259999999998,4994163.456301696
335547.5388181817,4982878.246090908,136.96245454545453,4994163.137639295
335547.6980555555,4982878.311555555,137.0435277777778,4994163.615290696
335547.74429411767,4982878.305176471,137.14194117647057,4994163.558988866
335547.60184615385,4982878.255076923,137.25353846153845,4994163.383210764
335547.3978125,4982878.253374999,137.35956249999998,4994163.595729129
335547.77344444446,4982878.242166666,137.44455555555555,4994163.399060118
335547.5622142857,4982878.235142857,137.55485714285712,4994163.679648555
335547.58855,4982878.21835,137.6558,4994163.281067018
335547.93384615384,4982878.266384615,137.74784615384615,4994163.500735315
335547.8204285715,4982878.210357143,137.85428571428568,4994162.944869163
335547.9912666666,4982878.1848,137.95280000000002,4994162.211624705
335547.892090909,4982878.214,138.05027272727273,4994162.322865215
335548.19007692306,4982878.240846153,138.15223076923075,4994162.055618533
335548.08195652167,4982878.214,138.24543478260867,4994161.7639860585
335547.9285294118,4982878.1550588235,138.35994117647056,4994161.9332494475
335548.07535714284,4982878.145785714,138.4592857142857,4994162.207573523
335547.4979444444,4982878.086555555,138.54299999999998,4994162.521612598
335547.9092608696,4982878.148652174,138.65813043478258,4994162.857170741
335549.1295999999,4982878.240266667,138.73886666666667,4994162.170186342
335548.4948333333,4982878.122916667,138.85733333333334,4994163.451973069
335547.509,4982878.033625001,138.94631249999998,4994163.793081529
335547.94045,4982878.1000500005,139.04725,4994163.114198159
335547.384875,4982877.993249999,139.156875,4994163.349761028
335547.1452222222,4982878.067888889,139.24416666666667,4994164.025630456
335547.1153076923,4982878.0459230775,139.36523076923075,4994163.519040818
335546.74199999997,4982877.993625,139.46024999999997,4994163.063361358
335547.40575000003,4982878.0535,139.544125,4994162.580321665
335548.3974,4982878.0714,139.74399999999997,4994162.950951849
335547.1204285715,4982877.995857143,139.843,4994164.233721946
335548.17562500003,4982878.013,139.95749999999998,4994163.244982118
335548.4414,4982878.0788,140.0451,4994163.092351424
335549.48480000003,4982878.104,140.243,4994163.268448503
335549.49450000003,4982878.0735,140.46633333333332,4994163.300665792
335549.48883333337,4982878.082833333,140.5515,4994163.222542595
335549.55466666666,4982878.056166667,140.6568333333333,4994163.355561043
335549.5154285715,4982878.046642857,140.84942857142855,4994163.31603354
335549.53150000004,4982877.9921,141.0765,4994163.243365269
335549.5360909091,4982878.035909092,141.15354545454545,4994163.268891622
335549.52714285714,4982878.030142858,141.2615714285714,4994163.246401044
335549.60709090903,4982877.895090909,141.36081818181813,4994163.094940893
335549.615388889,4982877.948722222,141.42999999999998,4994163.067184365
335549.66375,4982877.870125,141.557,4994163.098338837
335549.687,4982877.849888889,141.6433888888889,4994163.074439068
335549.7128461538,4982877.867615385,141.75165384615383,4994163.043842518
335549.74460000003,4982877.8116,141.8437333333333,4994162.969067799
335549.79054545454,4982877.891818183,141.94472727272725,4994163.053654707
335549.8299,4982877.916999999,142.03779999999998,4994163.0751056755
335549.73633333336,4982877.605444444,142.15077777777776,4994163.018570643
335549.7375714286,4982877.4815714285,142.45842857142856,4994162.756785213
